Found. Trends Mach. Learn.
Adv. Comput.
IEEE J. Sel. Areas Commun.
Found. Trends Signal Process.
Nat. Biomed. Eng.
IEEE Wirel. Commun.
Sci. Robot.
Mol. Syst. Biol.
Nat. Mach. Intell.
IEEE Trans. Evol. Comput.
IEEE Trans. Wirel. Commun.
Proc. IEEE
IEEE Trans. Cybern.
Found. Trends Comput. Graph. Vis.
IEEE Commun. Mag.
IEEE Trans. Smart Grid
J. Serv. Res.
Int. J. Inf. Manag.
Synth. Lect. Commun. Netw.
Inf. Fusion
AI Open
ACM Comput. Surv.
IEEE Trans. Pattern Anal. Mach. Intell.
PRX Quantum
Math. Program. Comput.

IEEE Netw.
J. Strateg. Inf. Syst.
J. Supply Chain. Manag.
IEEE Trans. Ind. Inform.
IEEE Signal Process. Mag.
Annu. Rev. Control. Robot. Auton. Syst.
Synth. Lect. Artif. Intell. Mach. Learn.
MIS Q.: Manag. Inf. Syst.
IEEE Internet Things J.
ACM Trans. Graph.
GigaScience
IEEE Trans. Syst. Man Cybern.: Syst.
Comput. Educ.
J. Oper. Manag.
Oper. Res.
npj Digit. Med.
IEEE Trans. Fuzzy Syst.
IEEE Trans. Neural Netw. Learn. Syst.
IEEE Trans. Cogn. Commun. Netw.
Found. Trends Commun. Inf. Theory
AVS Quantum Sci.
Int. J. Comput. Vis.
Annual Reviews in Control
Internet High. Educ.
ISPRS J. Photogramm. Remote. Sens.
npj Quantum Inf.
Inf. Syst. Res.
IEEE/CAA J. Autom. Sin.
Med. Image Anal.
IEEE Trans. Ind. Electron.
Found. Trends Inf. Retr.
J. Manag. Inf. Syst.
npj Comput. Mater.
Comput.-Aided Civ. Infrastruct. Eng.
J. ACM
IEEE Open J. Commun. Soc.
Bioinformatics
Wiley Interdiscip. Rev.: Comput. Mol. Sci.
Transp. Res. C: Emerg. Technol.
Robot. Comput.-Integr. Manuf.
Array
IEEE Trans. Med. Imaging
Soft Robot.
IEEE Trans. Veh. Technol.
Inf. Syst. J.
J. Manuf. Syst.
Int. J. Robot. Res.
J. Stat. Softw.
IEEE Trans. Robot.
J. Big Data
Inf. Manag.
Comput. Sci. Rev.
IEEE Trans. Intell. Transp. Syst.
IEEE Trans. Inf. Forensics Secur.
Comput. Ind.
Swarm Evol. Comput.
IEEE J. Sel. Top. Signal Process.
ACM Trans. Intell. Syst. Technol.
IEEE Trans. Mob. Comput.
IEEE Geosci. Remote. Sens. Mag.
Big Data Min. Anal.
IEEE Trans. Signal Process.
Artif. Intell. Rev.
Eur. J. Inf. Syst.
Int. J. Inf. Manag. Data Insights
Mech. Syst. Signal Process.
SIAM J. Comput.
Comput. Hum. Behav.
IEEE Comput. Intell. Mag.
Radiol.: Artif. Intell.
Sci. data
Big Data Soc.
J. Netw. Comput. Appl.
IEEE Trans. Control. Netw. Syst.
Eur. J. Oper. Res.
Nat. Comput. Sci.
IEEE Trans. Image Process.
IEEE Trans. Knowl. Data Eng.
Wiley Interdiscip. Rev.: Data Min. Knowl. Discov.
IEEE Commun. Stand. Mag.
NAR Genom. Bioinform.
Inf. Sci.
SIAM J. Optim.
J. Mach. Learn. Res.
Math. Program.
Neural Netw.
Comput. Methods Appl. Mech. Eng.
Brief. Bioinform.
J. Intell. Manuf.
Int. J. Comput.-Support. Collab. Learn.
Cell Rep. Methods
Hum. Behav. Emerg. Technol.
IEEE Trans. Serv. Comput.
Inf. Process. Manag.
J. Mem. Lang.
Pattern Recognit.
J. Manuf. Technol. Manag.
Decis. Support. Syst.
IEEE/ASME Trans. Mechatron.
Knowl.-Based Syst.
Int. J. Educ. Technol. High. Educ.
Futur. Gener. Comput. Syst.
IEEE/ACM Trans. Netw.
J. Field Robot.
Proc. VLDB Endow.
Inf. Organ.
Trans. Assoc. Comput. Linguist.
Soc. Media Soc.
APL Photonics
High-Confid. Comput.
IEEE Trans. Affect. Comput.
Energy AI
IEEE Trans. Parallel Distrib. Syst.
Appl. Soft Comput. J.
Telemat. Inform.
Expert. Syst. Appl.
IEEE Intell. Syst.
PLoS Comput. Biol.
Virtual Phys. Prototyp.
IEEE Trans. Inf. Theory
"J. Comb. Theory, B"
ACM Trans. Inf. Syst.
Netw. Neurosci.
Phys. Life Rev.
IEEE Trans. Dependable Secur. Comput.
VLDB J.
Artif. Intell.
Digit. Commun. Netw.
IEEE Commun. Lett.
Comput. Geotech.
Database: j. biol. databases curation
Proc. ACM Program. Lang.
Sci. China Inf. Sci.
IEEE Trans. Emerg. Top. Comput. Intell.
Comput. Ind. Eng.
Comput. Assist. Lang. Learn.
J. Comput. Phys.
Engineering
J. Assoc. Inf. Syst.
Eng. Appl. Artif. Intell.
IACR Trans. Cryptogr. Hardw. Embed. Syst.
Production Planning and Control
Comput. Oper. Res.
IEEE Trans. Softw. Eng.
ACM Trans. Database Syst.
Adv. Eng. Inform.
Comput. Educ.: Artif. Intell.
IEEE Robot. Autom. Lett.
IEEE Trans. Netw. Serv. Manag.
mSystems
J. Environ. Inform.
IEEE Trans. Green Commun. Netw.
Mach. Learn.
J. Educ. Comput. Res.
IEEE J. Biomed. Heal. Inform.
J. Chem. Theory Comput.
Soc. Sci. Comput. Rev.
Found. Comput. Math.
IEEE Trans. Netw. Sci. Eng.
J. Commun. Netw.
IEEE Trans. Multimed.
Data Min. Knowl. Discov.
J. Cheminformatics
J. Comput. Assist. Learn.
Comput. Netw.
Nonlinear Anal.: Hybrid Syst.
Comput. Secur.
Found. Trends Databases
ISA Trans.
Comput. Electron. Agric.
J. Commun. Inf. Netw.
Synth. Lect. Image Video Multimed. Process.
IEEE Trans. Intell. Veh.
Arch. Comput. Methods Eng.
Comput. Struct. Biotechnol. J.
Comput. Softw. Big Sci.
Adv. Quantum Technol.
Cogn. Psychol.
Dev. Built Environ.
Electron. Mark.
Artif. Intell. Law
IEEE Trans. Circuits Syst.: Regul. Pap.
Bus. Inf. Syst. Eng.
Syst. Control. Lett.
Mech. Mach. Theory
IEEE Trans. Vis. Comput. Graph.
Commun. ACM
Hum.-centric Comput. Inf. Sci.
Int. J. Neural Syst.
Comput. Vis. Media
J. Mater. Process. Technol.
Neurocomputing
Internet Things (Netherlands)
Internet Polic. Rev.
Cyberpsychology Behav. Soc. Netw.
Blockchain: Res. Appl.
J. Hosp. Tour. Technol.
Data Sci. Eng.
Digit. Biomark.
IEEE Syst. J.
Artif. Intell. Med.
J. Comput. Educ.
INF. J. Comput.
IEEE Trans. Cloud Comput.
Int. J. Intell. Syst.
